4,5,23,12,10,150.796,133.333
4,5,24,9,8,176.715,1
4,1,1,91,490.711,0.474898,154.545
4,1,2,11,941.421,155.968,133.333
4,1,3,60,284.853,0.929223,1
4,1,4,20,154.142,105.778,233.333
4,1,5,35,194.142,116.691,1
4,1,6,78,330.711,0.896206,0.666667
4,1,7,15,114.142,14.468,1
4,1,8,67,313.137,0.858649,1
4,1,9,45,288.284,0.680425,0.545455
4,1,10,12,10,150.796,133.333
4,1,11,105,406.274,0.799394,107.692
4,1,12,26,208.284,0.753131,116.667
4,1,13,9,8,176.715,1
4,1,14,165,653.553,0.485436,1
4,1,15,9,8,176.715,1
4,1,16,15,12,1.309,0.6
4,1,17,15,12,1.309,166.667
4,1,18,32,182.426,120.833,1
4,1,19,12,10,150.796,133.333
4,1,20,52,236.569,116.761,0.875
4,1,21,117,440.416,0.758,0.933333
4,1,22,24,202.426,0.736015,116.667
4,1,23,38,202.426,116.536,0.857143
4,1,24,9,8,176.715,1
4,1,25,12,10,150.796,133.333
4,1,26,9,8,176.715,1
4,1,27,9,8,176.715,1
4,1,28,28,188.284,0.992521,2
4,1,29,24,174.142,0.99452,0.571429
4,1,30,9,8,176.715,1
4,1,31,9,8,176.715,1
4,1,32,9,8,176.715,1
4,1,33,25,168.284,110.934,1.75
4,1,34,18,14,115.405,2
4,1,35,169,712.132,0.41877,208.333
4,1,36,23,154.142,121.645,1.5
4,1,37,12,10,150.796,133.333
4,1,38,12,10,150.796,0.75
4,1,39,32,208.284,0.92693,116.667
4,1,40,26,162.426,123.843,1.2
4,1,41,12,10,150.796,133.333
4,1,42,34,208.284,0.984863,0.857143
4,1,43,99,41.799,0.712055,0.6875
4,1,44,15,12,1.309,0.6
4,1,45,12,10,150.796,0.75
4,1,46,33,196.569,107.324,0.625
4,1,47,15,12,1.309,0.6
4,1,48,39,242.426,0.833901,0.875
4,1,49,9,8,176.715,1
4,1,50,43,222.426,109.221,133.333
4,1,51,15,12,1.309,0.6
4,1,52,18,14,115.405,2
4,1,53,79,347.279,0.823151,1
4,1,54,28,168.284,124.246,0.833333
4,1,55,9,8,176.715,1
4,1,56,48,322.426,0.580216,111.111
4,1,57,9,8,176.715,1
4,1,58,63,284.853,0.975684,0.8
4,1,59,15,12,1.309,166.667
4,1,60,9,8,176.715,1
4,1,61,59,342.426,0.632306,0.666667
4,1,62,151,585.269,0.553956,123.529
4,1,63,36,20,113.097,1
4,1,64,40,236.569,0.898164,1.5
4,1,65,29,174.142,120.171,0.833333
4,1,66,15,12,1.309,0.6
4,1,67,22,148.284,125.731,1.5
4,1,68,32,202.426,0.981354,0.857143
4,1,69,32,202.426,0.981354,116.667
4,1,70,37,228.284,0.892195,1
4,1,71,12,10,150.796,133.333
4,1,72,39,216.569,104.492,133.333
4,1,73,29,188.284,102.797,1
4,1,74,60,329.706,0.693599,0.833333
4,1,75,8,8,15.708,0.5
4,1,76,75,330.711,0.861737,185.714
4,1,77,18,134.142,125.705,0.8
4,1,78,78,387.279,0.653516,0.714286
4,1,79,110,455.563,0.666047,0.647059
4,1,80,34,194.142,113.357,0.714286
4,1,81,29,188.284,102.797,1.4
4,1,82,15,12,1.309,166.667
4,1,83,20,14,128.228,0.8
4,1,84,9,8,176.715,1
4,1,85,39,250.711,0.779702,0.777778
4,1,86,27,182.426,101.953,1
4,1,87,58,282.426,0.91375,0.545455
4,1,88,48,244.853,10.061,1
4,1,89,26,176.569,104.799,1
4,1,90,33,194.142,110.023,0.714286
4,1,91,33,242.426,0.705609,0.875
4,1,92,52,276.569,0.854295,1.125
4,1,93,12,10,150.796,0.75
4,1,94,6,6,209.439,0.666667
4,1,95,40,230.711,0.944353,0.666667
4,1,96,12,10,150.796,0.75
4,1,97,9,8,176.715,1
4,1,98,19,134.142,132.688,1.25
4,1,99,9,8,176.715,1
4,1,100,24,174.142,0.99452,0.833333
4,1,101,18,134.142,125.705,0.8
4,1,102,15,12,1.309,166.667
4,1,103,49,248.284,0.998867,114.286
4,1,104,9,8,176.715,1
4,1,105,6,6,209.439,0.666667
4,1,106,54,276.569,0.887152,0.888889
4,1,107,6,6,209.439,1.5
4,1,108,6,6,209.439,1.5
4,1,109,6,6,209.439,1.5
4,2,1,12,10,150.796,133.333
4,2,2,6,6,209.439,1.5
4,2,3,12,10,150.796,133.333
4,2,4,29,208.284,0.84003,116.667
4,2,5,9,8,176.715,1
4,2,6,31,176.569,124.952,1
4,2,7,21,16,103.084,0.428571
4,2,8,28,18,108.598,1.75
4,2,9,19,134.142,132.688,1.25
4,2,10,40,224.853,0.994199,114.286
4,2,11,9,8,176.715,1
4,2,12,21,16,103.084,0.428571
4,2,13,12,10,150.796,0.75
4,2,14,41,248.284,0.835786,0.875
4,2,15,9,8,176.715,1
4,2,16,12,10,150.796,133.333
4,2,17,20,14,128.228,1.25
4,2,18,30,18,116.355,1.2
4,2,19,73,367.279,0.680049,155.556
4,2,20,16,12,139.626,1
4,2,21,30,222.426,0.762006,1
4,2,22,15,114.142,14.468,1
4,2,23,12,10,150.796,133.333
4,2,24,9,8,176.715,1
4,2,25,9,8,176.715,1
4,2,26,29,188.284,102.797,1.4
4,2,27,20,14,128.228,1.25
4,2,28,15,12,1.309,166.667
4,2,29,15,12,1.309,166.667
4,2,30,15,12,1.309,166.667
4,2,31,8,8,15.708,0.5
4,2,32,18,128.284,137.447,0.8
4,2,33,66,327.279,0.774314,0.75
4,2,34,26,162.426,123.843,1.2
4,2,35,9,8,176.715,1
4,2,36,20,14,128.228,1.25
4,2,37,12,10,150.796,133.333
4,2,38,40,248.284,0.815401,114.286
4,2,39,9,8,176.715,1
4,2,40,23,168.284,102.059,0.571429
4,2,41,23,154.142,121.645,1.5
4,2,42,47,248.284,0.958097,0.875
4,2,43,30,182.426,113.281,1.4
4,2,44,76,341.421,0.819298,1
4,2,45,18,128.284,137.447,0.8
4,2,46,26,168.284,115.371,0.571429
4,3,1,16,128.284,122.175,2
4,3,2,21,16,103.084,0.428571
4,3,3,19,134.142,132.688,0.8
4,3,4,9,8,176.715,1
4,3,5,21,188.284,0.744391,1
4,3,6,29,182.426,109.505,1
4,3,7,33,222.426,0.838207,1
4,3,8,40,282.426,0.630172,1.125
4,3,9,72,330.711,0.827267,122.222
4,3,10,15,114.142,14.468,1
4,3,11,12,10,150.796,0.75
4,3,12,18,134.142,125.705,1.25
4,3,13,23,154.142,121.645,0.666667
4,3,14,28,222.426,0.711206,1
4,3,15,9,8,176.715,1
4,3,16,32,216.569,0.857372,0.75
4,3,17,72,327.279,0.844706,0.909091
4,3,18,28,182.426,105.729,1
4,3,19,19,134.142,132.688,1.25
4,3,20,48,244.853,10.061,1
4,3,21,9,8,176.715,1
4,3,22,33,188.284,116.976,1.4
4,3,23,9,8,176.715,1
4,3,24,15,114.142,14.468,1
4,3,25,23,154.142,121.645,1.5
4,3,26,17,128.284,129.811,0.8
4,3,27,23,168.284,102.059,1.75
4,3,28,33,242.426,0.705609,114.286
4,3,29,63,295.563,0.906252,1
4,3,30,62,307.279,0.825154,1
4,3,31,12,10,150.796,133.333
4,3,32,12,10,150.796,133.333
4,4,1,15,12,1.309,166.667
4,4,2,9,8,176.715,1
4,4,3,34,194.142,113.357,1
4,4,4,55,264.853,0.985288,0.888889
4,4,5,19,134.142,132.688,0.8
4,4,6,36,20,113.097,1
4,4,7,31,188.284,109.886,1.4
4,4,8,15,12,1.309,0.6
4,4,9,18,14,115.405,0.5
4,4,10,30,182.426,113.281,1
4,4,11,15,12,1.309,166.667
4,4,12,12,10,150.796,0.75
4,4,13,34,196.569,110.576,0.857143
4,4,14,30,182.426,113.281,1
4,4,15,16,12,139.626,1
4,4,16,15,12,1.309,166.667
4,4,17,15,12,1.309,0.6
4,4,18,35,216.569,0.93775,0.75
4,4,19,18,128.284,137.447,0.8
4,4,20,15,12,1.309,166.667
4,4,21,48,316.569,0.601888,0.727273
4,4,22,88,378.995,0.769885,0.916667
4,4,23,95,392.132,0.77637,0.857143
4,4,24,9,8,176.715,1
4,4,25,18,14,115.405,0.5
4,4,26,53,298.995,0.745003,0.727273
4,4,27,12,10,150.796,133.333
4,4,28,15,12,1.309,166.667
4,4,29,12,10,150.796,0.75
4,4,30,18,18,0.698132,4.5
4,4,31,6,6,209.439,1.5
4,4,32,6,6,209.439,1.5
4,5,1,15,12,1.309,166.667
4,5,2,9,8,176.715,1
4,5,3,15,12,1.309,0.6
4,5,4,12,10,150.796,0.75
4,5,5,20,168.284,0.887468,0.833333
4,5,6,49,24,106.901,1
4,5,7,42,22,109.047,116.667
4,5,8,123,512.132,0.58932,166.667
4,5,9,18,134.142,125.705,1.25
4,5,10,25,168.284,110.934,1.75
4,5,11,19,148.284,108.586,1.5
4,5,12,22,148.284,125.731,0.666667
4,5,13,35,210.711,0.990615,1
4,5,14,15,12,1.309,0.6
4,5,15,20,168.284,0.887468,1.2
4,5,16,26,168.284,115.371,0.833333
4,5,17,57,282.426,0.897995,142.857
4,5,18,15,12,1.309,0.6
4,5,19,33,190.711,114.018,116.667
4,5,20,12,10,150.796,133.333
4,5,21,35,230.711,0.826309,114.286
4,5,22,9,8,176.715,1
4,5,23,12,10,150.796,133.333
4,5,24,9,8,176.715,1
5,1,1,8,8,15.708,0.5
5,1,2,17,134.142,118.721,2
5,1,3,6,6,209.439,1.5
5,1,4,27,188.284,0.957074,1
5,1,5,64,356.569,0.632563,1.625
5,1,6,43,288.284,0.650184,0.307692
5,1,7,18,14,115.405,0.5
5,1,8,15,12,1.309,166.667
5,1,9,64,324.853,0.762108,1.5
5,1,10,9,8,176.715,1
5,1,11,12,10,150.796,0.75
5,1,12,9,8,176.715,1
5,1,13,22,148.284,125.731,1.5
5,1,14,72,398.995,0.568339,0.846154
5,1,15,36,20,113.097,1
5,1,16,12,10,150.796,0.75
5,1,17,216,749.706,0.482928,0.708333
5,1,18,15,12,1.309,0.6
5,1,19,30,18,116.355,0.833333
5,1,20,45,236.569,101.044,114.286
5,1,21,36,20,113.097,1
5,1,22,30,214.142,0.822104,116.667
5,1,23,24,168.284,106.496,1.75
5,1,24,35,194.142,116.691,1
5,1,25,42,222.426,106.681,0.75
5,1,26,41,268.284,0.715819,128.571
5,1,27,9,8,176.715,1
5,1,28,9,8,176.715,1
5,1,29,47,273.137,0.791674,1
5,1,30,12,10,150.796,133.333
